CANDIDATE_ID,FULL_NAME,EMAIL,BIRTH_DAY,RATING,CONTINENT
1,Crosby Tanzer,ctanzer0@gmpg.org,22/11/1999,149.16,South America
2,Irwinn Tutchell,itutchell1@studiopress.com,4/11/1980,131.31,North America
3,Kathrine Ellor,kellor2@acquirethisname.com,4/2/1986,146.13,North America
4,Laurella Ingold,lingold3@macromedia.com,6/7/1986,130.92,Europe
5,Malchy Otter,motter4@hatena.ne.jp,1/5/1984,137.59,Asia
6,Willa Filan,wfilan5@i2i.jp,11/5/1996,141.23,Australia
7,Lock Didsbury,ldidsbury6@posterous.com,30/3/1985,136.3,Australia
8,Amandi Worlidge,aworlidge7@shinystat.com,29/12/1980,136.81,Australia
9,Joannes McRobb,jmcrobb8@geocities.jp,12/11/1985,137.55,North America
10,Klement Drogan,kdrogan9@psu.edu,20/3/1980,132.37,Asia
11,Demott Stickles,dsticklesa@npr.org,13/1/1998,148.95,South America
12,Erin Streather,estreatherb@ebay.com,27/4/1981,148.29,South America
13,Timothy Renols,trenolsc@ask.com,4/3/1998,141.46,Asia
14,Amalle Coare,acoared@freewebs.com,30/10/1997,147.9,Asia
15,Sheri Tantum,stantume@fda.gov,14/11/1992,135.35,South America
16,Ollie Monnoyer,omonnoyerf@furl.net,25/9/1991,135.32,North America
17,Alasteir Beaston,abeastong@jiathis.com,19/1/1996,137.37,North America
18,Whitney Iannelli,wiannellih@arstechnica.com,14/2/1987,132.58,North America
19,Malory Aartsen,maartseni@newsvine.com,10/9/1989,149.73,South America
20,Angie Murrells,amurrellsj@dell.com,8/6/1981,140.23,North America
21,Ellerey Brigham,ebrighamk@g.co,24/4/1992,142.02,Australia
22,Kara-lynn Cowpe,kcowpel@studiopress.com,15/9/1995,149.33,Europe
23,Donni Bentame,dbentamem@gov.uk,13/2/1987,130.76,Australia
24,Rene Bramwell,rbramwelln@hud.gov,12/6/1983,134.41,Asia
25,Quinta Rittmeyer,qrittmeyero@jimdo.com,14/1/1988,149.03,Europe
26,Bellina Badham,bbadhamp@freewebs.com,8/8/1983,149.02,Australia
27,Stewart Feare,sfeareq@wikimedia.org,29/8/1991,144.32,South America
28,Troy Sibson,tsibsonr@apache.org,23/2/1996,137.75,Australia
29,Maitilde Arghent,marghents@live.com,29/8/1996,140.81,South America
30,Lorraine Eite,leitet@sfgate.com,6/4/1993,147.29,Europe
31,Rafaelia Berwick,rberwicku@hud.gov,21/10/1994,146.4,North America
32,Vivian Murdy,vmurdyv@scribd.com,22/6/1983,131.89,Europe
33,Morton Colbertson,mcolbertsonw@umn.edu,12/5/1986,141.35,South America
34,Corbin Vowell,cvowellx@godaddy.com,27/9/1984,137.34,Europe
35,Piper Ferrige,pferrigey@cnn.com,2/2/1995,140.67,South America
36,Brier Riceards,briceardsz@liveinternet.ru,12/11/1996,137.85,Asia
37,Marie-jeanne Rowles,mrowles10@techcrunch.com,19/6/1996,131.65,South America
38,Lissi Forkan,lforkan11@msn.com,26/4/1989,134.75,South America
39,Andros Mansion,amansion12@freewebs.com,5/10/1992,143.64,South America
40,Carlye Banting,cbanting13@wufoo.com,23/2/1993,131.43,Australia
41,Kile MacIlwrick,kmacilwrick14@4shared.com,22/7/1984,149.18,North America
42,Cristal Frugier,cfrugier15@e-recht24.de,27/1/1982,148.18,Europe
43,Nerissa Jacklings,njacklings16@pen.io,16/1/1990,133.79,Europe
44,Robbyn Baynard,rbaynard17@angelfire.com,20/1/1980,131.71,South America
45,Pearle McClay,pmcclay18@google.pl,17/5/1999,130.16,North America
46,Demetris Stert,dstert19@latimes.com,13/4/1981,130.56,North America
47,Ferrel Conkay,fconkay1a@geocities.jp,17/8/1984,148.37,South America
48,Noelani Livesley,nlivesley1b@boston.com,16/10/1983,135.44,Asia
49,Shurlock Grzelczyk,sgrzelczyk1c@elpais.com,26/11/1984,139.26,Asia
50,Bradford Billing,bbilling1d@prlog.org,16/6/1983,147.61,Europe
51,Libbey Paute,lpaute1e@angelfire.com,15/5/1997,141.49,South America
52,Robbi Clohessy,rclohessy1f@ucla.edu,4/5/1995,137.47,Asia
53,Fremont Tyler,ftyler1g@pinterest.com,14/4/1988,137.68,South America
54,Sabrina Fortune,sfortune1h@ebay.co.uk,10/4/1989,149.58,Australia
55,Elle Goade,egoade1i@godaddy.com,30/10/1983,141.16,Asia
56,Alica McGeraghty,amcgeraghty1j@360.cn,5/5/1988,132.19,Europe
57,Eolanda Peskett,epeskett1k@indiatimes.com,15/12/1985,134.97,Europe
58,Enrico Littleover,elittleover1l@hibu.com,26/3/1998,144.35,Europe
59,Livy Simioni,lsimioni1m@netlog.com,16/11/1984,132.2,South America
60,Erastus Nelane,enelane1n@bloomberg.com,2/11/1990,145.63,North America
61,Mikol Goodredge,mgoodredge1o@netscape.com,9/5/1983,142.35,Asia
62,Emmit Candelin,ecandelin1p@newyorker.com,21/12/1987,141.37,Australia
63,Matthias Halston,mhalston1q@bloglovin.com,19/12/1986,138.05,South America
64,Ruthann Semonin,rsemonin1r@cbslocal.com,17/11/1987,131.5,Europe
65,Shelba Daintrey,sdaintrey1s@ameblo.jp,16/5/1995,137.88,Europe
66,Bernardina Treversh,btreversh1t@cdbaby.com,16/11/1997,144.58,Asia
67,Filberto Theaker,ftheaker1u@nhs.uk,25/2/1995,140.27,South America
68,Cookie Noor,cnoor1v@nydailynews.com,22/1/1997,136.09,South America
69,Con Sikorski,csikorski1w@cbslocal.com,26/3/1986,135.45,Australia
70,Talyah Chalfain,tchalfain1x@geocities.com,28/8/1995,132.98,Asia
71,Carey Joslow,cjoslow1y@simplemachines.org,28/10/1990,142.94,Asia
72,Harrison McGilvra,hmcgilvra1z@blogtalkradio.com,6/6/1983,143.89,South America
73,Martita Copnar,mcopnar20@dell.com,2/2/1981,131.6,South America
74,Dorisa Jerrolt,djerrolt21@cbslocal.com,20/12/1999,131.83,South America
75,Lothaire Echalier,lechalier22@nifty.com,14/7/1995,141.99,Australia
76,Terencio Arne,tarne23@yolasite.com,11/12/1982,143.81,Australia
77,Garvy Sloss,gsloss24@comsenz.com,19/3/1987,139.68,South America
78,Almire Simmance,asimmance25@ftc.gov,24/8/1985,134.24,Asia
79,Thorsten Casswell,tcasswell26@microsoft.com,24/5/1992,144.45,Europe
80,Lane Jennins,ljennins27@mtv.com,10/9/1993,145.31,Europe
81,Victor Siburn,vsiburn28@flavors.me,1/4/1980,148.09,Europe
82,Ammamaria Canny,acanny29@wix.com,19/12/1999,131.69,Australia
83,Layton Leckenby,lleckenby2a@vkontakte.ru,27/9/1989,143.48,South America
84,Pippa Ruffell,pruffell2b@list-manage.com,26/8/1990,144.72,North America
85,Lorrie Vasic,lvasic2c@vinaora.com,15/11/1994,145.55,South America
86,Nestor McGurn,nmcgurn2d@rakuten.co.jp,8/7/1988,142.33,Asia
87,Kally Dodle,kdodle2e@nature.com,3/11/1991,148.97,North America
88,Aurelie Burgoin,aburgoin2f@opera.com,12/5/1983,141.49,North America
89,Franny Werrett,fwerrett2g@google.it,16/2/1999,147.21,Australia
90,Tripp Worgan,tworgan2h@redcross.org,21/8/1993,134.28,North America
91,Curtice Ninotti,cninotti2i@blog.com,26/8/1996,130.41,Australia
92,Cheri Kintish,ckintish2j@nytimes.com,15/7/1993,136.25,Europe
93,Con Macia,cmacia2k@chicagotribune.com,21/8/1992,144.8,North America
94,Keith Goldsberry,kgoldsberry2l@ibm.com,11/6/1984,137.29,South America
95,Wittie Suart,wsuart2m@google.co.jp,22/12/1992,138.98,Asia
96,Jesse Gosforth,jgosforth2n@constantcontact.com,9/8/1987,144.26,South America
97,Myrvyn Doucette,mdoucette2o@gravatar.com,20/10/1992,144.67,Australia
98,Ambrosi Copson,acopson2p@hexun.com,8/7/1990,133.91,North America
99,Nev Heaney`,nheaney2q@ifeng.com,8/1/1996,149.92,Australia
100,Othelia Bohey,obohey2r@ft.com,15/11/1992,132.16,South America
101,Millisent Chaston,mchaston2s@t.co,6/1/1988,131.6,North America
102,Skipton Gynn,sgynn2t@cocolog-nifty.com,9/5/1992,143.24,North America
103,Damien Cashford,dcashford2u@huffingtonpost.com,20/5/1986,146.61,South America
