INVESTOR_ID,FULL_NAME,EMAIL,COMPANY_NAME,INVESTING_AMOUNT,CONTINENT
1,Cass Leonards,cleonards0@comcast.net,"McDermott, Gulgowski and Rogahn",44324.94,Australia
2,Wallis Dorricott,wdorricott1@1und1.de,"Mertz, Sanford and Jast",48973.78,South America
3,Idalina Eshelby,ieshelby2@phpbb.com,"Satterfield, Schmidt and Keeling",85439.52,North America
4,Anissa Dahlbom,adahlbom3@indiatimes.com,Jerde-Bartoletti,68165.05,Europe
5,Hughie Piegrome,hpiegrome4@hc360.com,"Jast, Weber and Kling",30194.12,South America
6,Kain Cammomile,kcammomile5@arizona.edu,"Runolfsdottir, Kertzmann and Mosciski",61723.22,South America
7,Dee Woodland,dwoodland6@csmonitor.com,"Krajcik, Lynch and Haag",44984.08,Asia
8,Rodger Wissbey,rwissbey7@quantcast.com,Donnelly and Sons,13703.52,South America
9,Roslyn Caesmans,rcaesmans8@java.com,"Littel, Ankunding and Williamson",17068.66,Australia
10,Gail Redler,gredler9@artisteer.com,Schowalter Group,86045.23,Europe
11,Thorpe Koppeck,tkoppecka@wikia.com,Goldner-Wiza,76387.12,Asia
12,Corbin Ohrtmann,cohrtmannb@tmall.com,"Shields, Hagenes and Wolf",56958.87,Australia
13,Jeddy Dominey,jdomineyc@opera.com,"Skiles, Jakubowski and D'Amore",75475.71,Asia
14,Eustacia Ricart,ericartd@oracle.com,"Kohler, Adams and Anderson",94467.37,Europe
15,Ginevra McGreary,gmcgrearye@answers.com,Oberbrunner-Heidenreich,70616.86,Asia
16,Orson Scholler,oschollerf@domainmarket.com,Stamm-Kuhn,76430.21,Europe
17,Lyssa Swaffer,lswafferg@vkontakte.ru,Bednar-Jacobs,73140.31,Europe
18,Kirstyn Newens,knewensh@wikispaces.com,Pouros Inc,39744.75,Asia
19,Brenn Nind,bnindi@paypal.com,"Veum, Kovacek and Hessel",19307.13,Australia
20,Stanly Walklett,swalklettj@nba.com,"Kunze, Schmeler and Christiansen",98448.74,North America
21,Jenn Lowsely,jlowselyk@nbcnews.com,"Larkin, Franecki and Davis",76993.97,South America
22,Cthrine Chellenham,cchellenhaml@histats.com,Runolfsdottir Group,45078.62,Australia
23,Petunia Sphinxe,psphinxem@theglobeandmail.com,Abbott Group,31452.42,Australia
24,Jennifer Taw,jtawn@flavors.me,"Gutkowski, Wolf and Stark",24837.5,North America
25,Juline Bedson,jbedsono@histats.com,Luettgen-Breitenberg,78719.18,Asia
26,Arlin Yuryichev,ayuryichevp@google.de,"Stroman, Bahringer and Schuster",66656.86,Europe
27,Morlee Cornils,mcornilsq@engadget.com,Ernser-VonRueden,20072.43,Australia
28,Dunn D'Enrico,ddenricor@sbwire.com,Nitzsche Group,37082.57,South America
29,Crista Francescozzi,cfrancescozzis@upenn.edu,"Glover, Wolf and Skiles",12676.63,Australia
30,Alonzo Sommerville,asommervillet@usgs.gov,Gerhold and Sons,43454.22,Australia
31,Tommy McDermott-Row,tmcdermottrowu@dedecms.com,Hoppe LLC,44409.02,South America
32,Brent Woolfitt,bwoolfittv@pagesperso-orange.fr,"Reichert, Mayer and Bernhard",86351.17,Asia
33,Fayre Leet,fleetw@archive.org,"Tillman, Labadie and Walter",32364.16,Australia
34,Sollie Fullicks,sfullicksx@mozilla.com,"Ratke, Okuneva and Kihn",28220.29,South America
35,Elita Collet,ecollety@marriott.com,Schmitt-Koch,16420.35,South America
36,Hazlett Ceillier,hceillierz@slate.com,Hauck-Powlowski,13644.71,Asia
37,Ninette Appleby,nappleby10@w3.org,Wilkinson Inc,44726.95,Asia
38,Cassie Bodham,cbodham11@about.me,Mosciski Inc,53987.83,South America
39,Nevin Udden,nudden12@mtv.com,"Nicolas, Schoen and Kihn",97265.48,North America
40,Ericka O'Lochan,eolochan13@timesonline.co.uk,Welch-Rolfson,52194.09,Europe
41,Shurlock Paulitschke,spaulitschke14@bluehost.com,Lockman-Streich,38855.84,Australia
42,Melina Brock,mbrock15@nasa.gov,Roob Group,92722.39,South America
43,Adi Ridge,aridge16@twitter.com,Daugherty and Sons,33114.31,South America
44,Gregoire Poleykett,gpoleykett17@si.edu,Nolan-Kreiger,36298.13,Europe
45,Piotr Pointin,ppointin18@unblog.fr,Towne-Steuber,32129.0,Europe
46,Damian Nares,dnares19@ask.com,Lemke-Gorczany,96908.32,South America
47,Doralia Rye,drye1a@about.com,Marks and Sons,99979.4,North America
48,Becki Gioan,bgioan1b@exblog.jp,"Bode, Kessler and Lemke",51648.01,South America
49,Wheeler Hatchell,whatchell1c@cnn.com,"Orn, Mante and Gaylord",24452.15,North America
50,Ambrose Neilly,aneilly1d@china.com.cn,Blanda LLC,35140.32,South America
51,Kizzie Culcheth,kculcheth1e@cam.ac.uk,"Torp, Sawayn and Lebsack",97196.9,Australia
52,Vinnie Mariel,vmariel1f@tiny.cc,"Sauer, Koepp and Grant",17179.48,Australia
53,Liza Brazear,lbrazear1g@springer.com,"Rau, Hammes and Eichmann",28905.67,Europe
54,Lacee Wrathmall,lwrathmall1h@ft.com,Purdy-Padberg,20434.53,South America
55,Katherina Sange,ksange1i@g.co,"Grady, Hackett and Cremin",91885.13,Asia
56,Terrell Roome,troome1j@deviantart.com,Mills and Sons,75547.13,Europe
57,Marty Devigne,mdevigne1k@vistaprint.com,Bayer Group,77392.09,South America
58,Mattias Hemshall,mhemshall1l@wiley.com,Langworth LLC,87758.9,South America
59,Herbie Margery,hmargery1m@ycombinator.com,Robel-Jaskolski,44762.09,South America
60,Trixi Learman,tlearman1n@buzzfeed.com,Boehm LLC,32581.39,Asia
61,Lira Senechault,lsenechault1o@ucoz.ru,"Kuhn, Kirlin and Hartmann",81519.67,Asia
62,Shanta MacKenney,smackenney1p@hexun.com,"VonRueden, Koelpin and Jaskolski",26291.34,North America
63,Kennett Rapo,krapo1q@creativecommons.org,Parker and Sons,11918.07,Asia
64,Rickert Ebbins,rebbins1r@yellowpages.com,Mayert-O'Reilly,45385.01,Asia
65,Kizzee Assiratti,kassiratti1s@ebay.co.uk,Mayert-Cummerata,48357.88,Australia
66,Hal Ewenson,hewenson1t@godaddy.com,Metz-Blick,23705.64,Asia
67,Jojo Ferentz,jferentz1u@gizmodo.com,"Yost, Gerhold and Schmeler",66917.14,Australia
68,Raychel Trulocke,rtrulocke1v@cmu.edu,"Wisoky, Ullrich and Hickle",15708.44,South America
69,Rooney Martynka,rmartynka1w@moonfruit.com,"Purdy, Bednar and Schumm",48944.05,South America
70,Dell Tole,dtole1x@a8.net,"Ward, Feeney and Fahey",45326.82,North America
71,Carlye Riding,criding1y@arstechnica.com,Hudson and Sons,24009.6,Asia
72,Antonella Porteous,aporteous1z@wsj.com,"White, Conroy and Goldner",83778.82,South America
73,Bunni Volk,bvolk20@noaa.gov,"Kub, Thiel and Mante",86428.17,North America
74,Wiley Bynert,wbynert21@marriott.com,"Balistreri, Ortiz and Grimes",38360.81,Asia
75,Georgianna Lettington,glettington22@weibo.com,"D'Amore, Stokes and Hammes",68394.88,Asia
76,Edy Harland,eharland23@edublogs.org,Hegmann LLC,14181.77,Asia
77,Kermy Farquhar,kfarquhar24@angelfire.com,Parker-Goyette,35523.0,Australia
78,Ilsa Scroyton,iscroyton25@admin.ch,Stamm-Spinka,60277.32,Australia
79,Gillie Banton,gbanton26@loc.gov,"Blanda, Labadie and Moen",82087.33,Europe
80,Nollie Winslet,nwinslet27@nyu.edu,"Kulas, Abbott and Kreiger",61661.7,South America
81,Demetris Fergie,dfergie28@blogtalkradio.com,"Osinski, Runolfsdottir and Tillman",73675.96,South America
82,Sumner Salman,ssalman29@furl.net,Bahringer-Heller,65455.98,South America
83,Willow Solland,wsolland2a@aboutads.info,Casper-Schaefer,42102.64,Europe
84,Jeromy Jopling,jjopling2b@un.org,Cole Inc,82302.63,North America
85,Franny Loder,floder2c@free.fr,"Smith, Kemmer and Purdy",69532.45,South America
